product_id,product_name,supplier_name,supplier_location,price,rating,description,features,type,prefixed_text,service_id,service_name,price_range
,,Supplier 7,"Paris, France",,4.2,"Inspection services provided by Supplier 7 for Filters Model 208, ensuring high-quality support and reliability.",,service,"Spare Parts Supply for Filters Model 208 Inspection services provided by Supplier 7 for Filters Model 208, ensuring high-quality support and reliability. PriceRange:2413-15844 Location:Paris, France Supplier:Supplier 7",S028,Spare Parts Supply for Filters Model 208,2413-15844
,,Supplier 9,"Beijing, China",,4.2,"Repair services provided by Supplier 9 for Industrial Valves Model 709, ensuring high-quality support and reliability.",,service,"Emergency Support for Industrial Valves Model 709 Repair services provided by Supplier 9 for Industrial Valves Model 709, ensuring high-quality support and reliability. PriceRange:4876-15567 Location:Beijing, China Supplier:Supplier 9",S029,Emergency Support for Industrial Valves Model 709,4876-15567
,,Supplier 30,"Mumbai, India",,4.5,"Consulting services provided by Supplier 30 for Air Compressors Model 939, ensuring high-quality support and reliability.",,service,"Upgrades for Air Compressors Model 939 Consulting services provided by Supplier 30 for Air Compressors Model 939, ensuring high-quality support and reliability. PriceRange:1893-6280 Location:Mumbai, India Supplier:Supplier 30",S030,Upgrades for Air Compressors Model 939,1893-6280
,,Supplier 12,"Dubai, UAE",,3.6,"Installation services provided by Supplier 12 for HVAC Systems Model 333, ensuring high-quality support and reliability.",,service,"Spare Parts Supply for HVAC Systems Model 333 Installation services provided by Supplier 12 for HVAC Systems Model 333, ensuring high-quality support and reliability. PriceRange:4978-13448 Location:Dubai, UAE Supplier:Supplier 12",S031,Spare Parts Supply for HVAC Systems Model 333,4978-13448
,,Supplier 29,"Berlin, Germany",,4.3,"Emergency Support services provided by Supplier 29 for HVAC Systems Model 664, ensuring high-quality support and reliability.",,service,"Training for HVAC Systems Model 664 Emergency Support services provided by Supplier 29 for HVAC Systems Model 664, ensuring high-quality support and reliability. PriceRange:3098-19916 Location:Berlin, Germany Supplier:Supplier 29",S032,Training for HVAC Systems Model 664,3098-19916
,,Supplier 23,"Mumbai, India",,4.0,"Consulting services provided by Supplier 23 for HVAC Systems Model 653, ensuring high-quality support and reliability.",,service,"Training for HVAC Systems Model 653 Consulting services provided by Supplier 23 for HVAC Systems Model 653, ensuring high-quality support and reliability. PriceRange:2409-10407 Location:Mumbai, India Supplier:Supplier 23",S033,Training for HVAC Systems Model 653,2409-10407
,,Supplier 20,"Paris, France",,4.9,"Calibration services provided by Supplier 20 for Air Compressors Model 325, ensuring high-quality support and reliability.",,service,"Training for Air Compressors Model 325 Calibration services provided by Supplier 20 for Air Compressors Model 325, ensuring high-quality support and reliability. PriceRange:533-17211 Location:Paris, France Supplier:Supplier 20",S034,Training for Air Compressors Model 325,533-17211
,,Supplier 27,"New York, USA",,3.9,"Installation services provided by Supplier 27 for Welding Machines Model 348, ensuring high-quality support and reliability.",,service,"Spare Parts Supply for Welding Machines Model 348 Installation services provided by Supplier 27 for Welding Machines Model 348, ensuring high-quality support and reliability. PriceRange:1768-12887 Location:New York, USA Supplier:Supplier 27",S035,Spare Parts Supply for Welding Machines Model 348,1768-12887
,,Supplier 7,"Tokyo, Japan",,4.3,"Repair services provided by Supplier 7 for Bolts and Fasteners Model 205, ensuring high-quality support and reliability.",,service,"Consulting for Bolts and Fasteners Model 205 Repair services provided by Supplier 7 for Bolts and Fasteners Model 205, ensuring high-quality support and reliability. PriceRange:4429-8699 Location:Tokyo, Japan Supplier:Supplier 7",S036,Consulting for Bolts and Fasteners Model 205,4429-8699
,,Supplier 26,"Dubai, UAE",,3.7,"Upgrades services provided by Supplier 26 for Air Compressors Model 848, ensuring high-quality support and reliability.",,service,"Inspection for Air Compressors Model 848 Upgrades services provided by Supplier 26 for Air Compressors Model 848, ensuring high-quality support and reliability. PriceRange:3898-10920 Location:Dubai, UAE Supplier:Supplier 26",S037,Inspection for Air Compressors Model 848,3898-10920
,,Supplier 27,"London, UK",,4.2,"Maintenance services provided by Supplier 27 for Pumps Model 163, ensuring high-quality support and reliability.",,service,"Calibration for Pumps Model 163 Maintenance services provided by Supplier 27 for Pumps Model 163, ensuring high-quality support and reliability. PriceRange:4650-9978 Location:London, UK Supplier:Supplier 27",S038,Calibration for Pumps Model 163,4650-9978
,,Supplier 5,"Tokyo, Japan",,4.3,"Repair services provided by Supplier 5 for Drilling Equipment Model 421, ensuring high-quality support and reliability.",,service,"Upgrades for Drilling Equipment Model 421 Repair services provided by Supplier 5 for Drilling Equipment Model 421, ensuring high-quality support and reliability. PriceRange:2975-12091 Location:Tokyo, Japan Supplier:Supplier 5",S039,Upgrades for Drilling Equipment Model 421,2975-12091
,,Supplier 9,"Mumbai, India",,4.4,"Calibration services provided by Supplier 9 for Drilling Equipment Model 847, ensuring high-quality support and reliability.",,service,"Repair for Drilling Equipment Model 847 Calibration services provided by Supplier 9 for Drilling Equipment Model 847, ensuring high-quality support and reliability. PriceRange:1005-8720 Location:Mumbai, India Supplier:Supplier 9",S040,Repair for Drilling Equipment Model 847,1005-8720
,,Supplier 14,"Mumbai, India",,3.5,"Emergency Support services provided by Supplier 14 for Air Compressors Model 848, ensuring high-quality support and reliability.",,service,"Training for Air Compressors Model 848 Emergency Support services provided by Supplier 14 for Air Compressors Model 848, ensuring high-quality support and reliability. PriceRange:2301-6240 Location:Mumbai, India Supplier:Supplier 14",S041,Training for Air Compressors Model 848,2301-6240
,,Supplier 27,"Toronto, Canada",,3.7,"Training services provided by Supplier 27 for Air Compressors Model 590, ensuring high-quality support and reliability.",,service,"Emergency Support for Air Compressors Model 590 Training services provided by Supplier 27 for Air Compressors Model 590, ensuring high-quality support and reliability. PriceRange:978-9361 Location:Toronto, Canada Supplier:Supplier 27",S042,Emergency Support for Air Compressors Model 590,978-9361
,,Supplier 20,"Mumbai, India",,5.0,"Upgrades services provided by Supplier 20 for Air Compressors Model 602, ensuring high-quality support and reliability.",,service,"Training for Air Compressors Model 602 Upgrades services provided by Supplier 20 for Air Compressors Model 602, ensuring high-quality support and reliability. PriceRange:1060-10580 Location:Mumbai, India Supplier:Supplier 20",S043,Training for Air Compressors Model 602,1060-10580
,,Supplier 28,"Tokyo, Japan",,3.9,"Consulting services provided by Supplier 28 for Generators Model 997, ensuring high-quality support and reliability.",,service,"Maintenance for Generators Model 997 Consulting services provided by Supplier 28 for Generators Model 997, ensuring high-quality support and reliability. PriceRange:2076-15817 Location:Tokyo, Japan Supplier:Supplier 28",S044,Maintenance for Generators Model 997,2076-15817
,,Supplier 28,"Tokyo, Japan",,3.6,"Upgrades services provided by Supplier 28 for Drilling Equipment Model 685, ensuring high-quality support and reliability.",,service,"Spare Parts Supply for Drilling Equipment Model 685 Upgrades services provided by Supplier 28 for Drilling Equipment Model 685, ensuring high-quality support and reliability. PriceRange:2621-9997 Location:Tokyo, Japan Supplier:Supplier 28",S045,Spare Parts Supply for Drilling Equipment Model 685,2621-9997
,,Supplier 7,"Mumbai, India",,4.9,"Calibration services provided by Supplier 7 for Air Compressors Model 424, ensuring high-quality support and reliability.",,service,"Consulting for Air Compressors Model 424 Calibration services provided by Supplier 7 for Air Compressors Model 424, ensuring high-quality support and reliability. PriceRange:4212-8496 Location:Mumbai, India Supplier:Supplier 7",S046,Consulting for Air Compressors Model 424,4212-8496
,,Supplier 20,"Mumbai, India",,4.3,"Repair services provided by Supplier 20 for Drilling Equipment Model 421, ensuring high-quality support and reliability.",,service,"Training for Drilling Equipment Model 421 Repair services provided by Supplier 20 for Drilling Equipment Model 421, ensuring high-quality support and reliability. PriceRange:3113-15700 Location:Mumbai, India Supplier:Supplier 20",S047,Training for Drilling Equipment Model 421,3113-15700
,,Supplier 25,"Dubai, UAE",,4.7,"Upgrades services provided by Supplier 25 for Filters Model 711, ensuring high-quality support and reliability.",,service,"Consulting for Filters Model 711 Upgrades services provided by Supplier 25 for Filters Model 711, ensuring high-quality support and reliability. PriceRange:4455-7632 Location:Dubai, UAE Supplier:Supplier 25",S048,Consulting for Filters Model 711,4455-7632
,,Supplier 5,"Tokyo, Japan",,4.5,"Installation services provided by Supplier 5 for Welding Machines Model 631, ensuring high-quality support and reliability.",,service,"Installation for Welding Machines Model 631 Installation services provided by Supplier 5 for Welding Machines Model 631, ensuring high-quality support and reliability. PriceRange:2367-12991 Location:Tokyo, Japan Supplier:Supplier 5",S049,Installation for Welding Machines Model 631,2367-12991
,,Supplier 9,"Sydney, Australia",,3.6,"Spare Parts Supply services provided by Supplier 9 for Industrial Valves Model 998, ensuring high-quality support and reliability.",,service,"Upgrades for Industrial Valves Model 998 Spare Parts Supply services provided by Supplier 9 for Industrial Valves Model 998, ensuring high-quality support and reliability. PriceRange:4697-14087 Location:Sydney, Australia Supplier:Supplier 9",S050,Upgrades for Industrial Valves Model 998,4697-14087
